"","Company","BeanOrigin","ReviewDate_day","ReviewDate","CocoaPercent","CompanyLocation","Rating","BeanType","BroadBeanOrigin","BroadBeanOrigin_cate","CompanyLocation_cate","CocoaPercent_num"
"1","A. Morin","Agua Grande",1876,2016,"63%","France",3.75,NA,"Sao Tome","Other","France",0.63
"2","A. Morin","Kpime",1676,2015,"70%","France",2.75,NA,"Togo","Other","France",0.7
"3","A. Morin","Atsane",1676,2015,"70%","France",3,NA,"Togo","Other","France",0.7
"4","A. Morin","Akata",1680,2015,"70%","France",3.5,NA,"Togo","Other","France",0.7
"5","A. Morin","Quilla",1704,2015,"70%","France",3.5,NA,"Peru","Peru","France",0.7
"6","A. Morin","Carenero",1315,2014,"70%","France",2.75,"Criollo","Venezuela","Venezuela","France",0.7
"7","A. Morin","Cuba",1315,2014,"70%","France",3.5,NA,"Cuba","Other","France",0.7
"8","A. Morin","Sur del Lago",1315,2014,"70%","France",3.5,"Criollo","Venezuela","Venezuela","France",0.7
"9","A. Morin","Puerto Cabello",1319,2014,"70%","France",3.75,"Criollo","Venezuela","Venezuela","France",0.7
"10","A. Morin","Pablino",1319,2014,"70%","France",4,NA,"Peru","Peru","France",0.7
"11","A. Morin","Panama",1011,2013,"70%","France",2.75,NA,"Panama","Other","France",0.7
"12","A. Morin","Madagascar",1011,2013,"70%","France",3,"Criollo","Madagascar","Madagascar","France",0.7
"13","A. Morin","Brazil",1011,2013,"70%","France",3.25,NA,"Brazil","Other","France",0.7
"14","A. Morin","Equateur",1011,2013,"70%","France",3.75,NA,"Ecuador","Ecuador","France",0.7
"15","A. Morin","Colombie",1015,2013,"70%","France",2.75,NA,"Colombia","Other","France",0.7
"16","A. Morin","Birmanie",1015,2013,"70%","France",3,NA,"Burma","Other","France",0.7
"17","A. Morin","Papua New Guinea",1015,2013,"70%","France",3.25,NA,"Papua New Guinea","Other","France",0.7
"18","A. Morin","Chuao",1015,2013,"70%","France",4,"Trinitario","Venezuela","Venezuela","France",0.7
"19","A. Morin","Piura",1019,2013,"70%","France",3.25,NA,"Peru","Peru","France",0.7
"20","A. Morin","Chanchamayo Province",1019,2013,"70%","France",3.5,NA,"Peru","Peru","France",0.7
"21","A. Morin","Chanchamayo Province",1019,2013,"63%","France",4,NA,"Peru","Peru","France",0.63
"22","A. Morin","Bolivia",797,2012,"70%","France",3.5,NA,"Bolivia","Other","France",0.7
"23","A. Morin","Peru",797,2012,"63%","France",3.75,NA,"Peru","Peru","France",0.63
"24","Acalli","Chulucanas, El Platanal",1462,2015,"70%","U.S.A.",3.75,NA,"Peru","Peru","U.S.A.",0.7
"25","Acalli","Tumbes, Norandino",1470,2015,"70%","U.S.A.",3.75,"Criollo","Peru","Peru","U.S.A.",0.7
"26","Adi","Vanua Levu",705,2011,"60%","Fiji",2.75,"Trinitario","Fiji","Other","Other",0.6
"27","Adi","Vanua Levu, Toto-A",705,2011,"80%","Fiji",3.25,"Trinitario","Fiji","Other","Other",0.8
"28","Adi","Vanua Levu",705,2011,"88%","Fiji",3.5,"Trinitario","Fiji","Other","Other",0.88
"29","Adi","Vanua Levu, Ami-Ami-CA",705,2011,"72%","Fiji",3.5,"Trinitario","Fiji","Other","Other",0.72
"30","Aequare (Gianduja)","Los Rios, Quevedo, Arriba",370,2009,"55%","Ecuador",2.75,"Forastero (Arriba)","Ecuador","Ecuador","Ecuador",0.55
"31","Aequare (Gianduja)","Los Rios, Quevedo, Arriba",370,2009,"70%","Ecuador",3,"Forastero (Arriba)","Ecuador","Ecuador","Ecuador",0.7
"32","Ah Cacao","Tabasco",316,2009,"70%","Mexico",3,"Criollo","Mexico","Other","Other",0.7
"33","Akesson's (Pralus)","Bali (west), Sukrama Family, Melaya area",636,2011,"75%","Switzerland",3.75,"Trinitario","Indonesia","Other","Switzerland",0.75
"34","Akesson's (Pralus)","Madagascar, Ambolikapiky P.",502,2010,"75%","Switzerland",2.75,"Criollo","Madagascar","Madagascar","Switzerland",0.75
"35","Akesson's (Pralus)","Monte Alegre, D. Badero",508,2010,"75%","Switzerland",2.75,"Forastero","Brazil","Other","Switzerland",0.75
"36","Alain Ducasse","Trinite",1215,2014,"65%","France",2.75,"Trinitario","Trinidad","Other","France",0.65
"37","Alain Ducasse","Vietnam",1215,2014,"75%","France",2.75,"Trinitario","Vietnam","Other","France",0.75
"38","Alain Ducasse","Madagascar",1215,2014,"75%","France",3,"Trinitario","Madagascar","Madagascar","France",0.75
"39","Alain Ducasse","Chuao",1061,2013,"75%","France",2.5,"Trinitario","Venezuela","Venezuela","France",0.75
"40","Alain Ducasse","Piura, Perou",1173,2013,"75%","France",2.5,NA,"Peru","Peru","France",0.75
"41","Alexandre","Winak Coop, Napo",1944,2017,"70%","Netherlands",3.5,"Forastero (Nacional)","Ecuador","Ecuador","Other",0.7
